Label,AnnRet,AnnVol,Sharpe,Sortino,MaxDD,TotalRet,Primary,Pair,Method,Window
VAW-VOX,0.03405104734055354,0.07308032735790694,-0.21823865924049957,0.7646656956634489,-0.09792558468935886,0.06490955339968552,VAW,VOX,ewma,10
VIS-VPU,0.03254904761875222,0.07855392453765986,-0.2221525211370121,0.7578406324460821,-0.10263426842509316,0.060850433469149756,VIS,VPU,adaptive,10
VGT-VHT,0.025460486737939193,0.11023060469183169,-0.22261978268798474,0.38548836920167917,-0.13734511612095912,0.03964396974945239,VGT,VHT,adaptive,10
VCR-VGT,0.03284214551500242,0.07577794428149118,-0.22642280214492902,0.6908460165909995,-0.07222831826008025,0.061901434415433165,VCR,VGT,adaptive,15
VDE-VGT,0.023646252413496476,0.11352344531029422,-0.23214365556357638,0.34588285325465123,-0.18152828781256003,0.03509889048819259,VDE,VGT,ewma,15
VDC-VCR,0.0279713158427302,0.09438611329711763,-0.23338903772767652,0.4735799879777561,-0.1269814031693246,0.04826653457601515,VDC,VCR,ewma,5
VDC-VOX,0.02897583585278196,0.08633290307343501,-0.24352435049398,0.5515390367944576,-0.13601267699487707,0.051914396503387916,VDC,VOX,ewma,5
VDE-VCR,0.023386758011452492,0.10721827641040331,-0.2482155363762702,0.36265365887118123,-0.16403831052641504,0.03600373487062969,VDE,VCR,adaptive,5
VCR-VNQ,0.028316802784673117,0.08706908586210996,-0.24903439608480776,0.588288623669596,-0.09637394057788906,0.0504111214926255,VCR,VNQ,adaptive,5
VFH-VPU,0.02956355205549647,0.0817810179191607,-0.24989231565575046,0.5828767467293923,-0.06579336977105055,0.05394950737302695,VFH,VPU,ewma,5
VDE-VNQ,0.023406165677137172,0.10379551248179085,-0.2562137195240324,0.4128769743128015,-0.08659329193178877,0.03681905632675497,VDE,VNQ,standard,5
VFH-VGT,0.027018551303202496,0.08925372626958217,-0.2574844732799641,0.4952973306836972,-0.14718384739409007,0.04726126094362959,VFH,VGT,ewma,20
VIS-VPU,0.02785162461827176,0.08399766947024095,-0.2636784510976818,0.5695363352927324,-0.12153008901340234,0.0499708352858923,VIS,VPU,standard,5
VHT-VDC,0.03389739898472481,0.06089126914686061,-0.26444843802545964,0.9837639953146892,-0.06799426096736538,0.06632824556599992,VHT,VDC,standard,20
VGT-VFH,0.02481262411294296,0.09522570322338726,-0.26450186277932364,0.46279009438652363,-0.08685559939908505,0.041512386087448006,VGT,VFH,standard,15
VCR-VHT,0.025911879048721047,0.0894954480157671,-0.26915470546652953,0.5039558394276035,-0.13575154723828609,0.04491001653936766,VCR,VHT,adaptive,15
VHT-VGT,0.020420323555238405,0.10892168151782655,-0.27156830515805436,0.2997787465447207,-0.14592976992980355,0.029478486181495622,VHT,VGT,standard,10
VHT-VNQ,0.03285943330845987,0.06277900685690871,-0.27303023016290057,0.8902179369797044,-0.0533659598679086,0.06386176230897944,VHT,VNQ,standard,20
VCR-VNQ,0.025495095602518492,0.08858282352141286,-0.2766326859242406,0.5318702840387692,-0.13118948250282314,0.0442130834018335,VCR,VNQ,adaptive,10
VDE-VDC,0.020791777306172293,0.10114129939317379,-0.28878631052864406,0.366264938586088,-0.11745914406895164,0.0319667722031407,VDE,VDC,ewma,5
VFH-VOX,0.030442010242219122,0.06748230453578602,-0.2898239752231519,0.7647692614565956,-0.10546742780693252,0.05807315506438959,VFH,VOX,standard,10
VIS-VGT,0.027180878010567695,0.07806065628281851,-0.2923255206407336,0.6058315982709498,-0.09326596764031159,0.04956737694541968,VIS,VGT,standard,10
VIS-VDC,0.02639591412909927,0.07808640931773655,-0.3022816143953394,0.5806245307658409,-0.11660445979817213,0.04791809462918839,VIS,VDC,ewma,5
VIS-VDE,0.024328800679829714,0.08450399228413981,-0.303786822684688,0.4737360070331624,-0.12479509881597006,0.04248767613213911,VIS,VDE,adaptive,15
VDE-VCR,0.01775209291919033,0.10543494019326799,-0.3058559811547998,0.27567969703716616,-0.1984710674463791,0.02475590698668073,VDE,VCR,ewma,5
